Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
--------------------------+------------------------+--------------------------
             The/DT ad/NN |   prompted/VBN->VBD    | Mr./NNP Coleman/NNP ,/, t
 Virginia/NNP attorney/NN |     general/JJ->NN     | ,/, to/TO launch/VB a/DT 
y/NN general/NN ,/, to/TO |     launch/NN->VB      | a/DT series/NN of/IN adve
h/VB a/DT series/NN of/IN | advertisements/NN->NNS | created/VBN */-NONE- by/I
 of/IN advertisements/NNS |    created/NN->VBN     | */-NONE- by/IN Bob/NNP Go
reated/VBN */-NONE- by/IN |      Bob/NN->NNP       | Goodman/NNP and/CC design
BN */-NONE- by/IN Bob/NNP |    Goodman/NN->NNP     | and/CC designed/VBN */-NO
*/-NONE- *-2/-NONE- to/TO |      shake/NN->VB      | Mr./NNP Wilder/NNP 's/POS
Mr./NNP Wilder/NNP 's/POS |     support/VB->NN     | among/IN the/DT very/JJ w
upport/NN among/IN the/DT |      very/RB->JJ       | women/NNS who/WP *T*-77/-
 very/JJ women/NNS who/WP |   *T*-77/NN->-NONE-    | were/VBD attracted/VBN *-
WP *T*-77/-NONE- were/VBD |   attracted/NN->VBN    | *-1/-NONE- by/IN the/DT a
eman/NNP counterattack/NN |    featured/NN->VBD    | a/DT close-up/NN of/IN a/
T young/JJ woman/NN in/IN |    shadows/NN->NNS     | and/CC the/DT ad/NN sugge
s/NNS and/CC the/DT ad/NN |   suggested/NN->VBD    | that/IN she/PRP was/VBD r
he/DT ad/NN suggested/VBD |      that/WDT->IN      | she/PRP was/VBD recalling
D that/IN she/PRP was/VBD |   recalling/NN->VBG    | an/DT unpleasant/JJ court
s/VBD recalling/VBG an/DT |   unpleasant/NN->JJ    | courtroom/NN ordeal/NN ./
ice/NN says/VBZ ,/, ``/`` |      C'mon/NN->VB      | ,/, now/RB ,/, do/VBP n't
BP n't/RB you/PRP have/VB |   boyfriends/NN->NNS   | ?/. ''/''
hen/RB an/DT announcer/NN |   interjects/NN->VBZ   | :/: ``/`` It/PRP was/VBD 
las/NNP Wilder/NNP who/WP |   *T*-78/NN->-NONE-    | introduced/VBD a/DT bill/
/NNP who/WP *T*-78/-NONE- |   introduced/NN->VBD   | a/DT bill/NN 0/-NONE- *T*
-NONE- *T*-1/-NONE- to/TO |      force/NN->VB      | rape/NN victims/NNS age/N
E- to/TO force/VB rape/NN |    victims/NN->NNS     | age/NN 13/CD and/CC young
s/NNS age/NN 13/CD and/CC |    younger/NN->JJR     | to/TO be/VB interrogated/
C younger/JJR to/TO be/VB |  interrogated/NN->VBN  | *-2/-NONE- about/IN their
rivate/JJ lives/NNS by/IN |    lawyers/NN->NNS     | for/IN accused/VBN rapist
 by/IN lawyers/NNS for/IN |    accused/NN->VBN     | rapists/NNS ./.
rs/NNS for/IN accused/VBN |    rapists/NN->NNS     | ./.
-NONE- Mr./NNP Wilder/NNP |     talks/NNS->VBZ     | about/IN the/DT rights/NN
DT law/NN 0/-NONE- he/PRP |     tried/NN->VBD      | *-3/-NONE- to/TO pass/VB 
ried/VBD *-3/-NONE- to/TO |      pass/NN->VB       | *T*-2/-NONE- ./. ''/''
lation/NN 17/CD years/NNS |       ago/IN->RB       | ,/, but/CC he/PRP did/VBD
ent/NN ,/, a/DT common/JJ |   legislative/NN->JJ   | technique/NN used/VBN */-
N used/VBN */-NONE- by/IN |   lawmakers/NN->NNS    | ./.
BD that/IN it/PRP was/VBD |   introduced/NN->VBN   | *-1/-NONE- ``/`` by/IN re
983/CD Mr./NNP Wilder/NNP |   introduced/NN->VBD   | a/DT bill/NN 0/-NONE- *T*
 to/TO protect/VB rape/NN |    victims/NN->NNS     | from/IN unfounded/JJ inte
pe/NN victims/NNS from/IN |    unfounded/NN->JJ    | interrogation/NN ./.
``/`` People/NNS have/VBP |     grown/NN->VBN      | tired/JJ of/IN these/DT a
le/NNS have/VBP grown/VBN |      tired/NN->JJ      | of/IN these/DT ads/NNS an
nd/CC Coleman/NNP has/VBZ |     gotten/NN->VBN     | the/DT stigma/NN of/IN */
/'' says/VBZ *T*-1/-NONE- |      Mark/NN->NNP      | Rozell/NNP ,/, a/DT polit
VBZ *T*-1/-NONE- Mark/NNP |     Rozell/NN->NNP     | ,/, a/DT political/JJ sci
cal/JJ scientist/NN at/IN |      Mary/NN->NNP      | Washington/NNP College/NN
N *-1/-NONE- to/TO get/VB |     across/IN->RP      | the/DT idea/NN that/IN Co
at/IN Coleman/NNP will/MD |      say/VBP->VB       | anything/NN *-2/-NONE- to
- governor/NN and/CC --/: |      more/JJ->RBR      | important/JJ --/: has/VBZ
/VB the/DT onus/NN for/IN |      all/DT->PDT       | the/DT negative/JJ campai
 said/VBD this/DT week/NN |      that/WDT->IN      | he/PRP would/MD devote/VB
N that/IN he/PRP would/MD |     devote/NN->VB      | the/DT remainder/NN of/IN
itical/JJ season/NN to/TO |    positive/NN->JJ     | campaigning/NN ,/, but/CC
/, but/CC the/DT truce/NN |     lasted/NN->VBD     | only/RB hours/NNS ./.
ight/NN ,/, television/NN |    stations/NN->NNS    | were/VBD carrying/VBG new
/NN stations/NNS were/VBD |    carrying/NN->VBG    | new/JJ ads/NNS featuring/
rrying/VBG new/JJ ads/NNS |   featuring/NN->VBG    | Mr./NNP Coleman/NNP himse
g/VBG Mr./NNP Coleman/NNP |    himself/NN->PRP     | raising/VBG questions/NNS
P himself/PRP raising/VBG |   questions/NN->NNS    | about/IN Mr./NNP Wilder/N
sitivity/NN to/TO rape/NN |    victims/NN->NNS     | ./.
                   The/DT |    attacks/NN->NNS     | began/VBD when/WRB Democr
BD when/WRB Democratic/JJ |      Rep./NN->NNP      | James/NNP Florio/NNP aire
tic/JJ Rep./NNP James/NNP |     Florio/NN->NNP     | aired/VBD an/DT ad/NN fea
/NNP James/NNP Florio/NNP |     aired/NN->VBD      | an/DT ad/NN featuring/VBG
NNP aired/VBD an/DT ad/NN |   featuring/NN->VBG    | a/DT drawing/NN of/IN Pin
VBG a/DT drawing/NN of/IN |   Pinocchio/NN->NNP    | and/CC a/DT photograph/NN
otograph/NN of/IN Mr./NNP |     Florio/NN->NNP     | 's/POS rival/NN ,/, Repub
Mr./NNP Florio/NNP 's/POS |      rival/JJ->NN      | ,/, Republican/JJ Rep./NN
o/NNP 's/POS rival/NN ,/, |   Republican/NNP->JJ   | Rep./NNP Jim/NNP Courter/
ival/NN ,/, Republican/JJ |      Rep./NN->NNP      | Jim/NNP Courter/NNP ./.
/, Republican/JJ Rep./NNP |      Jim/NN->NNP       | Courter/NNP ./.
lican/JJ Rep./NNP Jim/NNP |    Courter/NN->NNP     | ./.
           ``/`` */-NONE- |    Remember/NN->VB     | Pinocchio/NNP ?/. ''/'' s
`/`` */-NONE- Remember/VB |   Pinocchio/NN->NNP    | ?/. ''/'' says/VBZ *T*-1/
ays/VBZ *T*-1/-NONE- a/DT |     female/NN->JJ      | voice/NN ./.
           ``/`` */-NONE- |    Consider/NN->VB     | Jim/NNP Courter/NNP ./. '
`/`` */-NONE- Consider/VB |      Jim/NN->NNP       | Courter/NNP ./. ''/''
NONE- Consider/VB Jim/NNP |    Courter/NN->NNP     | ./. ''/''
   And/CC then/RB this/DT |   commercial/JJ->NN    | ,/, produced/VBN */-NONE-
oduced/VBN */-NONE- by/IN |      Bob/NN->NNP       | Squier/NNP ,/, gets/VBZ d
BN */-NONE- by/IN Bob/NNP |     Squier/NN->NNP     | ,/, gets/VBZ down/RB to/T
/RB to/TO its/PRP$ own/JJ |      mean/NN->JJ       | and/CC dirty/JJ business/
RP$ own/JJ mean/JJ and/CC |      dirty/NN->JJ      | business/NN ./.
                          |    Pictures/NN->NNS    | of/IN rusted/VBN oil/NN d
       Pictures/NNS of/IN |     rusted/NN->VBN     | oil/NN drums/NNS swim/VBP
S of/IN rusted/VBN oil/NN |     drums/NN->NNS      | swim/VBP into/IN focus/NN
sted/VBN oil/NN drums/NNS |      swim/NN->VBP      | into/IN focus/NN ,/, and/
ocus/NN ,/, and/CC the/DT |     female/NN->JJ      | voice/NN purrs/VBZ ,/, ``
the/DT female/JJ voice/NN |     purrs/NN->VBZ      | ,/, ``/`` That/DT hazardo
rrs/VBZ ,/, ``/`` That/DT |    hazardous/NN->JJ    | waste/NN on/IN his/PRP$ -
/PRP$ -LCB-/-LRB- Mr./NNP |    Courter/NN->NNP     | 's/POS -RCB-/-RRB- proper
- property/NN --/: the/DT |   neighbors/NN->NNS    | are/VBP suing/VBG for/IN 
/DT neighbors/NNS are/VBP |     suing/NN->VBG      | for/IN consumer/NN fraud/
/DT nose/NN on/IN Mr./NNP |    Courter/NN->NNP     | 's/POS face/NN grows/VBZ 
r./NNP Courter/NNP 's/POS |      face/VB->NN       | grows/VBZ ./.
ourter/NNP 's/POS face/NN |     grows/NN->VBZ      | ./.
  The/DT only/JJ fraud/NN |    involved/NN->VBN    | ,/, cry/VBP *T*-1/-NONE- 
fraud/NN involved/VBN ,/, |      cry/NN->VBP       | *T*-1/-NONE- Mr./NNP Cour
/VBP *T*-1/-NONE- Mr./NNP |    Courter/NN->NNP     | 's/POS partisans/NNS ,/, 
r./NNP Courter/NNP 's/POS |   partisans/NN->NNS    | ,/, is/VBZ the/DT Florio/
ans/NNS ,/, is/VBZ the/DT |     Florio/NN->NNP     | commercial/NN itself/PRP 
